Completed cohort fertility and completed cohort fertility by age 40
Last modified: 2026-03-23
Code    Cohort     CCF     CCF40
DNK     1922     2.336     2.286
DNK     1923     2.333     2.286
DNK     1924     2.333     2.290
DNK     1925     2.340     2.301
DNK     1926     2.348     2.314
DNK     1927     2.354     2.323
DNK     1928     2.341     2.314
DNK     1929     2.336     2.310
DNK     1930     2.362     2.339
DNK     1931     2.372     2.352
DNK     1932     2.377     2.358
DNK     1933     2.388     2.370
DNK     1934     2.392     2.375
DNK     1935     2.378     2.363
DNK     1936     2.349     2.336
DNK     1937     2.325     2.312
DNK     1938     2.298     2.285
DNK     1939     2.265     2.252
DNK     1940     2.243     2.230
DNK     1941     2.209     2.197
DNK     1942     2.167     2.154
DNK     1943     2.136     2.122
DNK     1944     2.102     2.087
DNK     1945     2.060     2.044
DNK     1946     2.030     2.013
DNK     1947     2.002     1.984
DNK     1948     1.974     1.955
DNK     1949     1.934     1.913
DNK     1950     1.904     1.880
DNK     1951     1.895     1.870
DNK     1952     1.859     1.835
DNK     1953     1.853     1.827
DNK     1954     1.851     1.823
DNK     1955     1.838     1.809
DNK     1956     1.848     1.817
DNK     1957     1.861     1.830
DNK     1958     1.864     1.831
DNK     1959     1.877     1.843
DNK     1960     1.900     1.862
DNK     1961     1.908     1.869
DNK     1962     1.916     1.877
DNK     1963     1.923     1.882
DNK     1964     1.933     1.889
DNK     1965     1.935     1.889
DNK     1966     1.931     1.882
DNK     1967     1.943     1.892
DNK     1968     1.969     1.915
DNK     1969     1.982     1.929
DNK     1970     1.971     1.916
DNK     1971     1.952     1.895
DNK     1972     1.958     1.901
DNK     1973     1.962     1.902
DNK     1974     1.958     1.895
DNK     1975         .     1.892
DNK     1976         .     1.892
DNK     1977         .     1.879
DNK     1978         .     1.862
DNK     1979         .     1.850
DNK     1980         .     1.830
DNK     1981         .     1.811
DNK     1982         .     1.797
DNK     1983         .     1.781
DNK     1984         .     1.760
ESP     1907     3.062     2.860
ESP     1908     3.011     2.817
ESP     1909     2.941     2.758
ESP     1910     2.854     2.677
ESP     1911     2.770     2.597
ESP     1912     2.697     2.528
ESP     1913     2.635     2.470
ESP     1914     2.585     2.421
ESP     1915     2.549     2.385
ESP     1916     2.527     2.362
ESP     1917     2.517     2.352
ESP     1918     2.515     2.352
ESP     1919     2.515     2.354
ESP     1920     2.514     2.352
ESP     1921     2.516     2.353
ESP     1922     2.521     2.356
ESP     1923     2.528     2.361
ESP     1924     2.529     2.365
ESP     1925     2.530     2.371
ESP     1926     2.534     2.382
ESP     1927     2.543     2.398
ESP     1928     2.558     2.420
ESP     1929     2.579     2.444
ESP     1930     2.603     2.470
ESP     1931     2.631     2.500
ESP     1932     2.657     2.530
ESP     1933     2.674     2.554
ESP     1934     2.682     2.570
ESP     1935     2.679     2.575
ESP     1936     2.669     2.573
ESP     1937     2.662     2.573
ESP     1938     2.649     2.568
ESP     1939     2.624     2.550
ESP     1940     2.590     2.520
ESP     1941     2.542     2.481
ESP     1942     2.508     2.452
ESP     1943     2.480     2.429
ESP     1944     2.447     2.401
ESP     1945     2.421     2.379
ESP     1946     2.376     2.338
ESP     1947     2.317     2.283
ESP     1948     2.280     2.248
ESP     1949     2.221     2.191
ESP     1950     2.151     2.122
ESP     1951     2.116     2.088
ESP     1952     2.086     2.059
ESP     1953     2.032     2.006
ESP     1954     1.974     1.947
ESP     1955     1.934     1.906
ESP     1956     1.905     1.875
ESP     1957     1.868     1.837
ESP     1958     1.823     1.790
ESP     1959     1.787     1.750
ESP     1960     1.751     1.710
ESP     1961     1.710     1.667
ESP     1962     1.680     1.634
ESP     1963     1.658     1.608
ESP     1964     1.638     1.585
ESP     1965     1.602     1.547
ESP     1966     1.574     1.515
ESP     1967     1.555     1.493
ESP     1968     1.527     1.462
ESP     1969     1.497     1.428
ESP     1970     1.476     1.399
ESP     1971     1.449     1.368
ESP     1972     1.420     1.338
ESP     1973     1.402     1.317
ESP     1974         .     1.296
ESP     1975         .     1.277
ESP     1976         .     1.268
ESP     1977         .     1.267
ESP     1978         .     1.268
ESP     1979         .     1.278
ESP     1980         .     1.287
ESP     1981         .     1.289
ESP     1982         .     1.287
ESP     1983         .     1.281
EST     1944     1.889     1.863
EST     1945     1.873     1.844
EST     1946     1.889     1.862
EST     1947     1.910     1.885
EST     1948     1.916     1.891
EST     1949     1.988     1.966
EST     1950     1.964     1.943
EST     1951     2.002     1.984
EST     1952     1.951     1.935
EST     1953     1.963     1.947
EST     1954     1.973     1.955
EST     1955     1.970     1.951
EST     1956     2.022     2.004
EST     1957     2.027     2.006
EST     1958     2.035     2.014
EST     1959     2.060     2.038
EST     1960     2.062     2.038
EST     1961     1.994     1.970
EST     1962     1.970     1.941
EST     1963     1.912     1.880
EST     1964     1.882     1.850
EST     1965     1.907     1.867
EST     1966     1.866     1.824
EST     1967     1.874     1.827
EST     1968     1.877     1.824
EST     1969     1.860     1.803
EST     1970     1.867     1.812
EST     1971     1.840     1.781
EST     1972     1.829     1.765
EST     1973     1.861     1.796
EST     1974     1.841     1.766
EST     1975         .     1.773
EST     1976         .     1.772
EST     1977         .     1.785
EST     1978         .     1.789
EST     1979         .     1.797
EST     1980         .     1.798
EST     1981         .     1.803
EST     1982         .     1.786
EST     1983         .     1.779
EST     1984         .     1.765
FIN     1924     2.588     2.497
FIN     1925     2.580     2.500
FIN     1926     2.558     2.485
FIN     1927     2.545     2.483
FIN     1928     2.530     2.478
FIN     1929     2.481     2.438
FIN     1930     2.462     2.427
FIN     1931     2.437     2.404
FIN     1932     2.393     2.362
