Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 2026-03-23
Code    Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
NOR     1960     2.092     0.880     0.743     0.348     0.090     0.032     2.052     0.873     0.732     0.337     0.084     0.026
NOR     1961     2.088     0.879     0.741     0.345     0.088     0.035     2.049     0.872     0.731     0.334     0.082     0.030
NOR     1962     2.092     0.879     0.744     0.347     0.089     0.033     2.051     0.872     0.732     0.337     0.082     0.027
NOR     1963     2.084     0.878     0.742     0.344     0.088     0.032     2.039     0.870     0.729     0.332     0.082     0.027
NOR     1964     2.081     0.878     0.738     0.340     0.090     0.036     2.034     0.869     0.724     0.328     0.083     0.030
NOR     1965     2.074     0.882     0.743     0.334     0.083     0.033     2.025     0.871     0.730     0.322     0.076     0.027
NOR     1966     2.075     0.886     0.743     0.328     0.084     0.033     2.024     0.875     0.728     0.315     0.078     0.027
NOR     1967     2.071     0.886     0.744     0.329     0.080     0.032     2.016     0.874     0.727     0.316     0.074     0.026
NOR     1968     2.079     0.892     0.748     0.325     0.080     0.034     2.023     0.879     0.731     0.312     0.073     0.028
NOR     1969     2.067     0.887     0.745     0.324     0.080     0.030     2.008     0.874     0.725     0.311     0.073     0.024
NOR     1970     2.062     0.889     0.745     0.317     0.078     0.032     2.005     0.877     0.727     0.304     0.071     0.026
NOR     1971     2.047     0.889     0.744     0.312     0.075     0.027     1.991     0.877     0.724     0.298     0.068     0.023
NOR     1972     2.043     0.892     0.742     0.305     0.074     0.030     1.983     0.876     0.722     0.292     0.067     0.026
NOR     1973     2.040     0.894     0.742     0.304     0.072     0.029     1.981     0.879     0.722     0.290     0.066     0.023
NOR     1974     2.024     0.889     0.735     0.300     0.070     0.029     1.961     0.874     0.714     0.287     0.063     0.024
NOR     1975         .         .         .         .         .         .     1.956     0.870     0.713     0.286     0.062     0.026
NOR     1976         .         .         .         .         .         .     1.957     0.871     0.712     0.282     0.067     0.025
NOR     1977         .         .         .         .         .         .     1.949     0.875     0.710     0.278     0.063     0.024
NOR     1978         .         .         .         .         .         .     1.921     0.866     0.701     0.273     0.060     0.022
NOR     1979         .         .         .         .         .         .     1.906     0.866     0.695     0.265     0.059     0.021
NOR     1980         .         .         .         .         .         .     1.889     0.864     0.693     0.256     0.054     0.022
NOR     1981         .         .         .         .         .         .     1.870     0.862     0.686     0.251     0.053     0.018
NOR     1982         .         .         .         .         .         .     1.861     0.859     0.681     0.247     0.053     0.021
NOR     1983         .         .         .         .         .         .     1.830     0.851     0.672     0.236     0.050     0.020
NOR     1984         .         .         .         .         .         .     1.817     0.846     0.667     0.233     0.050     0.021
POL     1956     2.181     0.896     0.735     0.332     0.126     0.092     2.153     0.894     0.731     0.325     0.121     0.083
POL     1957     2.197     0.898     0.742     0.334     0.129     0.093     2.172     0.896     0.739     0.328     0.124     0.084
POL     1958     2.203     0.904     0.744     0.334     0.127     0.094     2.177     0.902     0.740     0.328     0.122     0.085
POL     1959     2.212     0.907     0.745     0.337     0.129     0.094     2.187     0.905     0.742     0.331     0.124     0.086
POL     1960     2.170     0.893     0.727     0.330     0.127     0.093     2.145     0.891     0.724     0.324     0.122     0.084
POL     1961     2.145     0.886     0.721     0.324     0.123     0.091     2.119     0.884     0.717     0.318     0.118     0.083
POL     1962     2.109     0.874     0.706     0.318     0.121     0.090     2.083     0.871     0.702     0.312     0.116     0.082
POL     1963     2.072     0.864     0.695     0.310     0.117     0.086     2.046     0.862     0.690     0.304     0.112     0.078
POL     1964     2.050     0.866     0.686     0.303     0.113     0.082     2.024     0.864     0.682     0.296     0.108     0.075
POL     1965     2.030     0.866     0.681     0.295     0.109     0.079     2.003     0.863     0.676     0.288     0.104     0.073
POL     1966     2.001     0.862     0.674     0.286     0.104     0.076     1.973     0.859     0.669     0.278     0.099     0.069
POL     1967     1.967     0.860     0.665     0.274     0.099     0.070     1.938     0.857     0.658     0.266     0.093     0.063
POL     1968     1.916     0.852     0.649     0.262     0.090     0.063     1.886     0.848     0.642     0.253     0.085     0.057
POL     1969     1.891     0.855     0.642     0.250     0.086     0.059     1.859     0.850     0.634     0.241     0.080     0.053
POL     1970     1.818     0.838     0.621     0.231     0.077     0.052     1.787     0.833     0.613     0.222     0.072     0.046
POL     1971     1.768     0.829     0.605     0.217     0.071     0.047     1.736     0.824     0.596     0.208     0.066     0.042
POL     1972     1.709     0.817     0.587     0.202     0.063     0.040     1.677     0.812     0.578     0.193     0.058     0.035
POL     1973     1.672     0.812     0.575     0.190     0.058     0.037     1.639     0.806     0.566     0.180     0.054     0.032
POL     1974         .         .         .         .         .         .     1.605     0.805     0.556     0.169     0.048     0.028
POL     1975         .         .         .         .         .         .     1.563     0.795     0.542     0.158     0.043     0.024
POL     1976         .         .         .         .         .         .     1.535     0.790     0.535     0.150     0.039     0.021
POL     1977         .         .         .         .         .         .     1.505     0.778     0.524     0.145     0.037     0.020
POL     1978         .         .         .         .         .         .     1.478     0.768     0.518     0.140     0.035     0.018
POL     1979         .         .         .         .         .         .     1.444     0.750     0.507     0.136     0.034     0.017
POL     1980         .         .         .         .         .         .     1.434     0.742     0.504     0.136     0.034     0.017
POL     1981         .         .         .         .         .         .     1.411     0.729     0.496     0.135     0.034     0.016
POL     1982         .         .         .         .         .         .     1.407     0.725     0.492     0.138     0.035     0.016
POL     1983         .         .         .         .         .         .     1.401     0.721     0.489     0.139     0.036     0.016
PRT     1944     2.495     0.989     0.728     0.353     0.183     0.242     2.452     0.983     0.723     0.347     0.176     0.222
PRT     1945     2.405     0.980     0.718     0.332     0.164     0.210     2.366     0.976     0.713     0.325     0.159     0.193
PRT     1946     2.350     0.982     0.716     0.317     0.151     0.184     2.313     0.978     0.710     0.311     0.146     0.170
PRT     1947     2.256     0.974     0.699     0.297     0.135     0.151     2.226     0.970     0.695     0.291     0.131     0.139
PRT     1948     2.204     0.963     0.693     0.286     0.127     0.135     2.173     0.959     0.688     0.280     0.122     0.125
PRT     1949     2.129     0.945     0.679     0.269     0.117     0.119     2.100     0.941     0.673     0.263     0.113     0.110
PRT     1950     2.093     0.944     0.676     0.257     0.108     0.108     2.063     0.939     0.669     0.251     0.104     0.100
PRT     1951     2.070     0.938     0.678     0.251     0.104     0.100     2.042     0.933     0.672     0.244     0.100     0.093
PRT     1952     2.055     0.934     0.682     0.248     0.099     0.092     2.027     0.929     0.676     0.242     0.095     0.085
PRT     1953     2.035     0.934     0.679     0.241     0.097     0.084     2.007     0.929     0.673     0.235     0.092     0.078
PRT     1954     2.027     0.946     0.674     0.237     0.091     0.079     1.999     0.941     0.668     0.230     0.087     0.073
PRT     1955     2.039     0.971     0.683     0.232     0.085     0.069     2.011     0.965     0.676     0.224     0.081     0.064
PRT     1956     2.033     0.970     0.679     0.230     0.084     0.069     2.003     0.964     0.672     0.223     0.080     0.064
PRT     1957     1.989     0.964     0.668     0.218     0.079     0.060     1.959     0.958     0.660     0.211     0.075     0.056
PRT     1958     1.989     0.972     0.670     0.215     0.076     0.056     1.958     0.965     0.662     0.207     0.072     0.052
PRT     1959     1.947     0.962     0.655     0.207     0.070     0.053     1.913     0.954     0.645     0.198     0.066     0.049
PRT     1960     1.909     0.959     0.646     0.194     0.065     0.046     1.873     0.951     0.634     0.186     0.061     0.041
PRT     1961     1.884     0.948     0.643     0.190     0.060     0.043     1.846     0.940     0.630     0.181     0.056     0.039
PRT     1962     1.897     0.969     0.647     0.184     0.056     0.041     1.858     0.960     0.635     0.174     0.052     0.037
PRT     1963     1.849     0.955     0.631     0.175     0.054     0.034     1.811     0.946     0.619     0.165     0.050     0.031
PRT     1964     1.839     0.961     0.625     0.172     0.050     0.030     1.800     0.952     0.613     0.162     0.046     0.028
PRT     1965     1.838     0.969     0.625     0.166     0.049     0.028     1.796     0.959     0.610     0.157     0.045     0.025
PRT     1966     1.819     0.974     0.616     0.159     0.044     0.025     1.778     0.964     0.602     0.149     0.040     0.023
PRT     1967     1.803     0.971     0.611     0.155     0.042     0.024     1.761     0.960     0.595     0.146     0.038     0.022
PRT     1968     1.757     0.955     0.592     0.148     0.040     0.022     1.711     0.942     0.575     0.138     0.037     0.020
PRT     1969     1.725     0.945     0.581     0.142     0.037     0.019     1.676     0.931     0.563     0.131     0.034     0.017
PRT     1970     1.692     0.936     0.567     0.136     0.035     0.018     1.643     0.922     0.548     0.125     0.032     0.016
PRT     1971     1.665     0.934     0.553     0.130     0.032     0.016     1.614     0.918     0.534     0.120     0.029     0.014
PRT     1972     1.656     0.929     0.552     0.128     0.032     0.015     1.603     0.912     0.533     0.117     0.029     0.013
PRT     1973     1.636     0.927     0.540     0.125     0.031     0.014     1.580     0.908     0.519     0.114     0.027     0.012
PRT     1974     1.598     0.907     0.530     0.119     0.029     0.013     1.533     0.886     0.504     0.107     0.026     0.011
PRT     1975         .         .         .         .         .         .     1.524     0.889     0.494     0.105     0.025     0.010
PRT     1976         .         .         .         .         .         .     1.515     0.889     0.491     0.103     0.023     0.010
PRT     1977         .         .         .         .         .         .     1.509     0.883     0.487     0.104     0.025     0.011
PRT     1978         .         .         .         .         .         .     1.494     0.875     0.484     0.102     0.024     0.010
PRT     1979         .         .         .         .         .         .     1.488     0.873     0.479     0.102     0.024     0.010
PRT     1980         .         .         .         .         .         .     1.470     0.860     0.475     0.103     0.023     0.009
PRT     1981         .         .         .         .         .         .     1.475     0.861     0.476     0.105     0.024     0.009
PRT     1982         .         .         .         .         .         .     1.483     0.863     0.476     0.108     0.025     0.010
PRT     1983         .         .         .         .         .         .     1.489     0.863     0.478     0.113     0.026     0.010
PRT     1984         .         .         .         .         .         .     1.481     0.856     0.474     0.113     0.027     0.011
RUS     1944     1.815     0.920     0.606     0.167     0.059     0.064     1.791     0.917     0.601     0.161     0.056     0.056
RUS     1945     1.781     0.919     0.594     0.158     0.054     0.057     1.757     0.916     0.588     0.152     0.050     0.050
RUS     1946     1.836     0.949     0.617     0.162     0.053     0.055     1.811     0.946     0.611     0.156     0.050     0.048
RUS     1947     1.766     0.907     0.602     0.156     0.050     0.051     1.743     0.904     0.596     0.150     0.047     0.045
RUS     1948     1.784     0.915     0.610     0.158     0.051     0.050     1.764     0.912     0.606     0.153     0.048     0.045
RUS     1949     1.890     0.963     0.647     0.173     0.054     0.053     1.870     0.960     0.643     0.168     0.052     0.048
RUS     1950     1.854     0.936     0.638     0.174     0.055     0.052     1.837     0.933     0.634     0.170     0.052     0.048
RUS     1951     1.889     0.944     0.657     0.181     0.055     0.052     1.874     0.941     0.654     0.178     0.054     0.048
RUS     1952     1.876     0.931     0.658     0.183     0.055     0.049     1.863     0.929     0.655     0.180     0.054     0.046
RUS     1953     1.862     0.920     0.657     0.183     0.054     0.047     1.850     0.918     0.654     0.181     0.053     0.044
RUS     1954     1.887     0.934     0.669     0.186     0.053     0.045     1.876     0.931     0.667     0.184     0.052     0.042
RUS     1955     1.854     0.914     0.664     0.183     0.052     0.041     1.842     0.912     0.661     0.180     0.050     0.039
RUS     1956     1.845     0.912     0.663     0.181     0.051     0.039     1.834     0.909     0.661     0.178     0.049     0.036
RUS     1957     1.874     0.932     0.675     0.181     0.050     0.037     1.862     0.929     0.672     0.178     0.048     0.034
RUS     1958     1.863     0.936     0.668     0.177     0.048     0.034     1.850     0.934     0.665     0.174     0.047     0.031
RUS     1959     1.860     0.944     0.666     0.172     0.047     0.031     1.847     0.942     0.663     0.169     0.045     0.029
RUS     1960     1.849     0.949     0.659     0.167     0.045     0.029     1.836     0.947     0.656     0.163     0.043     0.027
RUS     1961     1.801     0.934     0.639     0.159     0.043     0.027     1.786     0.931     0.636     0.154     0.040     0.025
RUS     1962     1.753     0.919     0.619     0.150     0.040     0.025     1.737     0.917     0.614     0.146     0.038     0.023
RUS     1963     1.724     0.917     0.600     0.145     0.039     0.024     1.707     0.914     0.595     0.140     0.036     0.021
RUS     1964     1.698     0.916     0.581     0.140     0.038     0.023     1.680     0.913     0.576     0.135     0.035     0.020
RUS     1965     1.680     0.920     0.565     0.135     0.037     0.022     1.659     0.917     0.560     0.129     0.034     0.019
RUS     1966     1.660     0.921     0.549     0.132     0.036     0.022     1.636     0.918     0.541     0.125     0.033     0.019
RUS     1967     1.638     0.919     0.532     0.130     0.036     0.022     1.611     0.915     0.523     0.122     0.032     0.018
RUS     1968     1.631     0.923     0.523     0.129     0.035     0.021     1.600     0.919     0.513     0.120     0.031     0.018
RUS     1969         .         .         .         .         .         .     1.586     0.921     0.500     0.117     0.030     0.017
RUS     1970         .         .         .         .         .         .     1.570     0.919     0.489     0.115     0.030     0.017
RUS     1971         .         .         .         .         .         .     1.559     0.910     0.486     0.116     0.030     0.017
RUS     1972         .         .         .         .         .         .     1.540     0.893     0.483     0.118     0.031     0.016
RUS     1973         .         .         .         .         .         .     1.549     0.889     0.488     0.122     0.032     0.017
RUS     1974         .         .         .         .         .         .     1.570     0.891     0.498     0.130     0.033     0.018
RUS     1975         .         .         .         .         .         .     1.570     0.882     0.502     0.134     0.034     0.018
RUS     1976         .         .         .         .         .         .     1.589     0.877     0.514     0.143     0.036     0.019
RUS     1977         .         .         .         .         .         .     1.614     0.876     0.527     0.152     0.039     0.020
RUS     1978         .         .         .         .         .         .     1.631     0.876     0.536     0.159     0.040     0.021
SVK     1935     2.708     0.906     0.810     0.481     0.235     0.276     2.679     0.904     0.807     0.477     0.230     0.260
SVK     1936     2.668     0.899     0.806     0.470     0.230     0.262     2.641     0.897     0.804     0.467     0.226     0.247
SVK     1937     2.669     0.909     0.818     0.473     0.223     0.246     2.644     0.907     0.815     0.470     0.219     0.234
SVK     1938     2.638     0.907     0.812     0.469     0.218     0.233     2.616     0.906     0.809     0.465     0.214     0.222
SVK     1939     2.608     0.912     0.812     0.460     0.209     0.214     2.588     0.910     0.810     0.457     0.206     0.204
SVK     1940     2.541     0.907     0.809     0.443     0.193     0.189     2.522     0.905     0.807     0.439     0.190     0.181
SVK     1941     2.485     0.901     0.802     0.431     0.181     0.171     2.469     0.900     0.800     0.428     0.178     0.163
SVK     1942     2.452     0.897     0.801     0.428     0.172     0.154     2.436     0.896     0.800     0.425     0.170     0.147
SVK     1943     2.457     0.905     0.809     0.425     0.171     0.148     2.442     0.903     0.807     0.422     0.168     0.142
SVK     1944     2.422     0.901     0.799     0.417     0.164     0.141     2.407     0.899     0.798     0.414     0.161     0.135
SVK     1945     2.357     0.883     0.788     0.405     0.155     0.125     2.343     0.882     0.787     0.403     0.152     0.119
SVK     1946     2.376     0.903     0.806     0.401     0.150     0.117     2.363     0.901     0.805     0.399     0.147     0.112
SVK     1947     2.378     0.909     0.811     0.399     0.145     0.115     2.365     0.908     0.809     0.397     0.142     0.110
SVK     1948     2.356     0.905     0.805     0.398     0.140     0.108     2.341     0.903     0.803     0.395     0.137     0.102
SVK     1949     2.328     0.902     0.801     0.391     0.136     0.098     2.313     0.901     0.799     0.388     0.133     0.093
SVK     1950     2.303     0.903     0.793     0.383     0.132     0.093     2.288     0.901     0.791     0.380     0.128     0.087
SVK     1951     2.280     0.899     0.794     0.371     0.127     0.089     2.265     0.898     0.792     0.368     0.124     0.083
SVK     1952     2.275     0.903     0.796     0.365     0.124     0.086     2.260     0.901     0.794     0.362     0.121     0.080
SVK     1953     2.241     0.896     0.788     0.358     0.118     0.081     2.227     0.894     0.786     0.355     0.115     0.077
SVK     1954     2.232     0.898     0.789     0.352     0.116     0.078     2.218     0.897     0.787     0.348     0.113     0.073
SVK     1955     2.226     0.905     0.790     0.344     0.114     0.074     2.213     0.903     0.788     0.341     0.111     0.070
SVK     1956     2.214     0.900     0.789     0.341     0.110     0.075     2.199     0.898     0.787     0.337     0.107     0.070
SVK     1957     2.207     0.902     0.786     0.336     0.108     0.075     2.192     0.900     0.784     0.333     0.105     0.069
SVK     1958     2.193     0.902     0.781     0.330     0.108     0.073     2.178     0.900     0.779     0.327     0.106     0.067
SVK     1959     2.184     0.901     0.772     0.327     0.108     0.075     2.168     0.899     0.770     0.323     0.106     0.069
SVK     1960     2.174     0.903     0.769     0.320     0.107     0.076     2.157     0.900     0.767     0.316     0.104     0.070
SVK     1961     2.169     0.902     0.772     0.316     0.106     0.074     2.152     0.899     0.769     0.312     0.103     0.068
SVK     1962     2.146     0.906     0.763     0.303     0.099     0.075     2.129     0.904     0.760     0.299     0.096     0.070
SVK     1963     2.115     0.903     0.753     0.291     0.096     0.072     2.096     0.900     0.751     0.287     0.093     0.066
SVK     1964     2.084     0.898     0.740     0.281     0.094     0.072     2.062     0.894     0.737     0.276     0.090     0.065
SVK     1965         .         .         .         .         .         .     2.023     0.887     0.721     0.263     0.085     0.067
SVK     1966         .         .         .         .         .         .     2.012     0.890     0.713     0.255     0.086     0.069
SVK     1967         .         .         .         .         .         .     1.995     0.886     0.702     0.250     0.083     0.073
SVK     1968         .         .         .         .         .         .     1.969     0.879     0.690     0.244     0.082     0.075
SVK     1969         .         .         .         .         .         .     1.930     0.878     0.669     0.228     0.078     0.077
SVK     1970         .         .         .         .         .         .     1.901     0.877     0.655     0.222     0.074     0.073
SVK     1971         .         .         .         .         .         .     1.857     0.873     0.640     0.207     0.068     0.069
SVK     1972         .         .         .         .         .         .     1.819     0.859     0.623     0.199     0.067     0.070
SVK     1973         .         .         .         .         .         .     1.787     0.858     0.608     0.190     0.061     0.070
SVK     1974         .         .         .         .         .         .     1.764     0.856     0.595     0.188     0.060     0.064
SVN     1968     1.740     0.894     0.641     0.162     0.031     0.013     1.710     0.886     0.633     0.154     0.028     0.010
SVN     1969     1.732     0.893     0.630     0.162     0.034     0.014     1.698     0.884     0.619     0.153     0.030     0.011
SVN     1970         .         .         .         .         .         .     1.683     0.867     0.611     0.157     0.034     0.014
SVN     1971         .         .         .         .         .         .     1.661     0.865     0.602     0.150     0.031     0.013
SVN     1972         .         .         .         .         .         .     1.650     0.849     0.594     0.161     0.033     0.013
SVN     1973         .         .         .         .         .         .     1.641     0.852     0.595     0.153     0.030     0.012
SVN     1974         .         .         .         .         .         .     1.617     0.838     0.588     0.151     0.029     0.013
SVN     1975         .         .         .         .         .         .     1.641     0.841     0.593     0.158     0.035     0.014
SVN     1976         .         .         .         .         .         .     1.623     0.830     0.593     0.158     0.031     0.011
SVN     1977         .         .         .         .         .         .     1.584     0.816     0.575     0.147     0.033     0.012
SVN     1978         .         .         .         .         .         .     1.591     0.818     0.581     0.150     0.030     0.012
SVN     1979         .         .         .         .         .         .     1.588     0.813     0.580     0.150     0.031     0.013
SWE     1955     2.034     0.872     0.723     0.312     0.089     0.037     1.996     0.865     0.713     0.303     0.084     0.031
SWE     1956     2.042     0.870     0.722     0.316     0.092     0.041     2.003     0.862     0.711     0.307     0.087     0.036
SWE     1957     2.053     0.870     0.729     0.320     0.093     0.041     2.013     0.862     0.718     0.311     0.088     0.035
SWE     1958     2.057     0.870     0.728     0.322     0.093     0.045     2.016     0.861     0.717     0.312     0.087     0.038
SWE     1959     2.048     0.866     0.727     0.320     0.093     0.042     2.005     0.857     0.715     0.310     0.088     0.035
SWE     1960     2.058     0.866     0.731     0.322     0.095     0.045     2.011     0.855     0.718     0.310     0.088     0.038
SWE     1961     2.030     0.862     0.728     0.307     0.091     0.042     1.981     0.850     0.714     0.296     0.085     0.037
SWE     1962     2.036     0.863     0.729     0.310     0.090     0.043     1.982     0.852     0.714     0.296     0.083     0.037
SWE     1963     2.028     0.867     0.733     0.299     0.088     0.041     1.971     0.854     0.716     0.287     0.081     0.034
SWE     1964     2.014     0.866     0.731     0.294     0.082     0.041     1.957     0.854     0.714     0.280     0.075     0.033
SWE     1965     2.014     0.869     0.733     0.290     0.082     0.040     1.952     0.855     0.714     0.275     0.074     0.033
SWE     1966     2.005     0.871     0.736     0.282     0.077     0.038     1.938     0.856     0.716     0.267     0.069     0.030
SWE     1967     1.997     0.872     0.733     0.277     0.076     0.039     1.929     0.856     0.712     0.262     0.068     0.031
SWE     1968     1.997     0.877     0.734     0.273     0.075     0.038     1.926     0.860     0.712     0.256     0.067     0.031
SWE     1969     1.993     0.877     0.733     0.268     0.073     0.042     1.921     0.859     0.710     0.252     0.065     0.034
SWE     1970     1.999     0.880     0.737     0.271     0.073     0.038     1.924     0.862     0.714     0.254     0.065     0.030
SWE     1971     1.977     0.878     0.732     0.264     0.069     0.034     1.901     0.859     0.707     0.247     0.062     0.027
SWE     1972     1.976     0.875     0.730     0.266     0.070     0.035     1.901     0.856     0.706     0.249     0.062     0.027
SWE     1973     1.960     0.874     0.728     0.256     0.067     0.035     1.879     0.854     0.701     0.239     0.058     0.027
SWE     1974     1.965     0.874     0.727     0.259     0.067     0.038     1.885     0.854     0.702     0.241     0.060     0.029
SWE     1975         .         .         .         .         .         .     1.875     0.853     0.697     0.235     0.059     0.030
SWE     1976         .         .         .         .         .         .     1.865     0.848     0.692     0.236     0.059     0.030
SWE     1977         .         .         .         .         .         .     1.866     0.849     0.690     0.236     0.059     0.032
SWE     1978         .         .         .         .         .         .     1.858     0.846     0.685     0.235     0.061     0.031
SWE     1979         .         .         .         .         .         .     1.846     0.843     0.682     0.231     0.059     0.031
SWE     1980         .         .         .         .         .         .     1.852     0.837     0.673     0.237     0.063     0.041
SWE     1981         .         .         .         .         .         .     1.834     0.837     0.673     0.231     0.060     0.032
SWE     1982         .         .         .         .         .         .     1.811     0.826     0.658     0.231     0.061     0.035
SWE     1983         .         .         .         .         .         .     1.807     0.822     0.656     0.231     0.064     0.034
SWE     1984         .         .         .         .         .         .     1.792     0.816     0.650     0.229     0.062     0.035
TWN     1961     2.175     0.913     0.786     0.377     0.080     0.019     2.161     0.909     0.782     0.373     0.078     0.018
TWN     1962     2.140     0.911     0.779     0.360     0.073     0.017     2.126     0.907     0.775     0.356     0.072     0.016
TWN     1963     2.075     0.899     0.760     0.337     0.065     0.014     2.061     0.895     0.755     0.334     0.064     0.014
TWN     1964     2.015     0.886     0.742     0.317     0.058     0.012     2.000     0.882     0.737     0.313     0.056     0.012
TWN     1965     1.956     0.875     0.722     0.296     0.052     0.011     1.940     0.870     0.717     0.293     0.050     0.010
TWN     1966     1.905     0.865     0.705     0.278     0.047     0.010     1.888     0.860     0.699     0.274     0.045     0.009
TWN     1967     1.874     0.867     0.697     0.260     0.042     0.009     1.856     0.861     0.690     0.256     0.041     0.008
TWN     1968     1.820     0.860     0.677     0.237     0.038     0.008     1.799     0.853     0.669     0.233     0.036     0.007
TWN     1969     1.764     0.850     0.655     0.219     0.034     0.007     1.740     0.842     0.646     0.213     0.032     0.006
TWN     1970     1.724     0.845     0.639     0.201     0.031     0.007     1.696     0.836     0.629     0.196     0.029     0.006
TWN     1971     1.680     0.837     0.623     0.185     0.029     0.007     1.648     0.826     0.611     0.178     0.027     0.006
TWN     1972     1.649     0.831     0.610     0.174     0.027     0.007     1.614     0.819     0.597     0.167     0.025     0.006
TWN     1973     1.617     0.826     0.597     0.162     0.025     0.007     1.579     0.813     0.582     0.155     0.023     0.006
TWN     1974     1.590     0.821     0.586     0.151     0.024     0.007     1.548     0.806     0.569     0.143     0.022     0.006
TWN     1975         .         .         .         .         .         .     1.497     0.789     0.549     0.132     0.021     0.006
TWN     1976         .         .         .         .         .         .     1.473     0.785     0.540     0.123     0.019     0.006
TWN     1977         .         .         .         .         .         .     1.449     0.777     0.532     0.116     0.018     0.006
TWN     1978         .         .         .         .         .         .     1.404     0.759     0.513     0.109     0.017     0.006
TWN     1979         .         .         .         .         .         .     1.386     0.755     0.502     0.105     0.018     0.006
TWN     1980         .         .         .         .         .         .     1.363     0.745     0.493     0.102     0.018     0.006
TWN     1981         .         .         .         .         .         .     1.338     0.734     0.482     0.099     0.017     0.006
TWN     1982         .         .         .         .         .         .     1.312     0.723     0.469     0.097     0.017     0.006
TWN     1983         .         .         .         .         .         .     1.269     0.702     0.451     0.094     0.017     0.006
TWN     1984         .         .         .         .         .         .     1.228     0.681     0.434     0.090     0.017     0.006
UKR     1944     1.839     0.910     0.642     0.180     0.055     0.051     1.816     0.908     0.638     0.175     0.052     0.044
UKR     1945     1.831     0.919     0.643     0.172     0.051     0.045     1.811     0.916     0.639     0.167     0.049     0.039
UKR     1946     1.856     0.944     0.653     0.169     0.048     0.042     1.836     0.941     0.649     0.164     0.046     0.036
UKR     1947     1.867     0.970     0.653     0.161     0.044     0.039     1.848     0.967     0.649     0.156     0.042     0.034
UKR     1948     1.886     0.983     0.661     0.159     0.045     0.039     1.869     0.980     0.657     0.155     0.043     0.034
UKR     1949     1.916     0.985     0.678     0.165     0.047     0.041     1.900     0.983     0.674     0.162     0.045     0.037
UKR     1950     1.901     0.977     0.675     0.163     0.046     0.040     1.887     0.975     0.672     0.160     0.044     0.036
UKR     1951     1.911     0.973     0.687     0.165     0.046     0.040     1.897     0.970     0.684     0.162     0.044     0.037
UKR     1952     1.883     0.962     0.678     0.161     0.043     0.038     1.871     0.960     0.675     0.158     0.042     0.035
UKR     1953     1.848     0.951     0.662     0.157     0.041     0.036     1.837     0.949     0.660     0.155     0.040     0.033
UKR     1954     1.839     0.936     0.667     0.158     0.042     0.036     1.829     0.934     0.665     0.156     0.040     0.033
UKR     1955     1.831     0.930     0.666     0.157     0.041     0.036     1.821     0.928     0.664     0.155     0.040     0.033
UKR     1956     1.824     0.927     0.667     0.154     0.041     0.034     1.814     0.926     0.665     0.152     0.039     0.032
UKR     1957     1.842     0.942     0.672     0.153     0.041     0.034     1.832     0.940     0.670     0.151     0.040     0.031
UKR     1958     1.862     0.964     0.672     0.152     0.040     0.033     1.851     0.963     0.670     0.149     0.039     0.031
UKR     1959     1.857     0.968     0.671     0.147     0.039     0.031     1.847     0.966     0.669     0.145     0.038     0.029
UKR     1960     1.834     0.963     0.662     0.142     0.037     0.030     1.824     0.961     0.660     0.139     0.036     0.027
UKR     1961     1.806     0.957     0.649     0.136     0.035     0.029     1.795     0.955     0.646     0.134     0.034     0.026
UKR     1962     1.774     0.949     0.634     0.130     0.034     0.027     1.762     0.947     0.631     0.127     0.032     0.025
UKR     1963     1.739     0.943     0.613     0.124     0.033     0.026     1.727     0.941     0.610     0.121     0.031     0.023
UKR     1964         .         .         .         .         .         .     1.686     0.932     0.585     0.116     0.030     0.023
UKR     1965         .         .         .         .         .         .     1.663     0.932     0.567     0.112     0.029     0.023
UKR     1966         .         .         .         .         .         .     1.656     0.944     0.553     0.109     0.029     0.022
UKR     1967         .         .         .         .         .         .     1.604     0.926     0.524     0.104     0.028     0.022
UKR     1968         .         .         .         .         .         .     1.579     0.924     0.505     0.101     0.027     0.022
UKR     1969         .         .         .         .         .         .     1.575     0.931     0.496     0.099     0.027     0.021
UKR     1970         .         .         .         .         .         .     1.544     0.921     0.480     0.096     0.026     0.021
UKR     1971         .         .         .         .         .         .     1.517     0.903     0.471     0.096     0.026     0.021
UKR     1972         .         .         .         .         .         .     1.496     0.881     0.467     0.099     0.027     0.021
UKR     1973         .         .         .         .         .         .     1.496     0.874     0.469     0.102     0.028     0.023
USA     1918     2.507     0.819     0.660     0.416     0.242     0.372     2.429     0.815     0.653     0.405     0.230     0.327
USA     1919     2.595     0.835     0.678     0.436     0.254     0.392     2.517     0.831     0.672     0.426     0.243     0.345
USA     1920     2.708     0.856     0.706     0.461     0.271     0.413     2.628     0.852     0.700     0.451     0.259     0.366
USA     1921     2.749     0.865     0.719     0.472     0.278     0.415     2.673     0.861     0.713     0.462     0.267     0.370
USA     1922     2.784     0.867     0.730     0.481     0.284     0.422     2.714     0.864     0.725     0.472     0.274     0.379
USA     1923     2.852     0.877     0.746     0.496     0.295     0.439     2.786     0.874     0.741     0.488     0.286     0.398
USA     1924     2.942     0.890     0.764     0.516     0.310     0.462     2.879     0.887     0.759     0.508     0.301     0.423
